Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Projected Ownership,Roster Position
81283-23169,C,Steven,Steven Adams,Adams,26.34337349,83,6000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-16261,SG/SF,Khris,Khris Middleton,Middleton,35.55362248,69,6000,MEM@MIL,MIL,MEM,GTD,Wrist,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-40199,PF/SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,57.15625,80,6000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-60233,SG/SF,Dillon,Dillon Brooks,Brooks,27.63720987,43,6000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-110344,PG,Ja,Ja Morant,Morant,46.35970295,67,6000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-110353,PF/C,Brandon,Brandon Clarke,Clarke,23.97631515,76,6000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-42156,PF/C,Bobby,Bobby Portis,Portis,29.57023693,84,6000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-145334,SG,Desmond,Desmond Bane,Bane,30.80454601,88,6000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9663,PG/SG,Jrue,Jrue Holiday,Holiday,37.67215313,79,6000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-157843,SF,Ziaire,Ziaire Williams,Williams,13.36111111,72,5500,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9621,C,Brook,Brook Lopez,Lopez,23.03199951,25,5500,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-157844,PF,Santi,Santi Aldama,Aldama,9.371874809,32,5500,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-58081,SF/PF,Tyus,Tyus Jones,Jones,20.70588235,85,5500,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-84711,SG,Grayson,Grayson Allen,Allen,19.10128236,78,5500,MEM@MIL,MIL,MEM,GTD,Finger,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9703,PG,George,George Hill,Hill,13.87627139,59,5500,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-15993,SG/SF,Pat,Pat Connaughton,Connaughton,19.40649414,77,5500,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-145336,PF,Xavier,Xavier Tillman,Tillman,12.77741955,62,5500,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9799,SF,Wesley,Wesley Matthews,Matthews,10.78360636,61,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-84683,PF/C,Jaren,Jaren Jackson,Jackson,32.93888889,90,5000,MEM@MIL,MEM,MIL,O,Foot,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-111372,SF/PF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,7.098214286,56,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-111376,SG,John,John Konchar,Konchar,14.11999969,80,5000,MEM@MIL,MEM,MIL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-157846,PF/C,Sandro,Sandro Mamukelashvili,Mamukelashvili,7.912194973,41,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-84696,PG/SG,Jevon,Jevon Carter,Carter,9.197402756,77,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9758,SG/SF,Danny,Danny Green,Green,14.78108174,74,5000,MEM@MIL,MEM,MIL,O,Knee,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-145632,PF,Killian,Killian Tillie,Tillie,9,36,5000,MEM@MIL,MEM,MIL,GTD,Back,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-9957,PF,Serge,Serge Ibaka,Ibaka,14.10833333,60,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-149736,PG,Luca,Luca Vildoza,Vildoza,2.771428517,7,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-116906,SG,Lindell,Lindell Wigginton,Wigginton,7.921052632,19,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-117808,PF,Marques,Marques Bolden,Bolden,4.03333346,6,5000,MEM@MIL,MIL,MEM,,,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
81283-59318,SG/SF,Joe,Joe Ingles,Ingles,16.82666694,45,5000,MEM@MIL,MIL,MEM,O,Knee,,,1,MVP - 2X Points/STAR - 1.5X Points/PRO - 1.2X Points/UTIL
