Nickname,Team,Opponent,Position,Salary,FPPG,FD Value,Projected Ownership,ID,FD Ceiling,First Name,Last Name,Played,Game,Injury Indicator,Injury Details,Tier,Roster Position
Jalen Hurts,PHI,DET,QB,8000,22.8,4.2,18.9,78867-69531,31.8,,,,,,,,
Christian McCaffrey,CAR,CLE,RB,9500,20.7,3.9,21.4,78867-55050,29.1,,,,,,,,
Lamar Jackson,BAL,NYJ,QB,8500,23,2.8,14.8,78867-63115,30.7,,,,,,,,
Aaron Jones,GB,MIN,RB,7400,15.5,2.8,18.8,78867-40442,21.9,,,,,,,,
Justin Herbert,LAC,LV,QB,8400,22.7,2.8,8.6,78867-69189,30.4,,,,,,,,
Patrick Mahomes,KC,ARI,QB,8700,23.4,2.6,10.2,78867-57439,31.4,,,,,,,,
Jameis Winston,NO,ATL,QB,6700,17.2,2.5,6.2,78867-24849,23.9,,,,,,,,
Saquon Barkley,NYG,TEN,RB,6800,13.9,2.5,21.7,78867-64401,19.8,,,,,,,,
Joe Burrow,CIN,PIT,QB,7700,20.2,2.4,3.8,78867-63336,27.9,,,,,,,,
Justin Jefferson,MIN,GB,WR,8100,16.4,2.4,23.1,78867-85671,23,,,,,,,,
Joe Mixon,CIN,PIT,RB,8300,16.8,2.3,18.4,78867-52442,23.9,,,,,,,,
Aaron Rodgers,GB,MIN,QB,7800,20.4,2.3,3,78867-6894,27.3,,,,,,,,
Brandin Cooks,HOU,IND,WR,6600,13.4,2.3,18.6,78867-29501,18.3,,,,,,,,
Travis Etienne Jr.,JAX,WAS,RB,6200,12.4,2.2,6.8,78867-89956,18.2,,,,,,,,
Kyler Murray,ARI,KC,QB,8200,21.3,2.1,9.4,78867-63484,28.8,,,,,,,,
Marcus Mariota,ATL,NO,QB,6500,16.2,2.1,1.4,78867-29358,21.8,,,,,,,,
Dameon Pierce,HOU,IND,RB,5400,10.7,2,2.9,78867-86055,15.8,,,,,,,,
Derek Carr,LV,LAC,QB,7400,18.9,2,4.1,78867-45859,25.3,,,,,,,,
Mitch Trubisky,PIT,CIN,QB,6400,15.8,2,0.7,78867-38628,20.6,,,,,,,,
D'Andre Swift,DET,PHI,RB,7600,14.9,1.9,14.6,78867-91598,22,,,,,,,,
Washington Commanders,WAS,JAX,D,3700,7.2,1.9,13.2,78867-12552,12.1,,,,,,,,
Jonathan Taylor,IND,HOU,RB,10200,19.9,1.8,17.2,78867-89675,28.3,,,,,,,,
Mike Williams,LAC,LV,WR,6600,12.9,1.8,14.5,78867-39829,19.7,,,,,,,,
Antonio Gibson,WAS,JAX,RB,6800,13.2,1.7,15.5,78867-90933,19.5,,,,,,,,
Tee Higgins,CIN,PIT,WR,7000,13.3,1.5,11.9,78867-89981,19.7,,,,,,,,
Clyde Edwards-Helaire,KC,ARI,RB,5800,11,1.5,11.7,78867-85741,16.2,,,,,,,,
Kirk Cousins,MIN,GB,QB,7300,18.1,1.5,1.8,78867-22038,23.7,,,,,,,,
Dalvin Cook,MIN,GB,RB,8400,16.1,1.5,10.3,78867-54140,22.3,,,,,,,,
Trey Lance,SF,CHI,QB,7500,18.6,1.5,4.6,78867-149696,24.7,,,,,,,,
Alvin Kamara,NO,ATL,RB,8500,16.2,1.4,7.5,78867-42104,23.5,,,,,,,,
Atlanta Falcons,ATL,NO,D,3600,6.6,1.4,3.9,78867-12525,11.2,,,,,,,,
James Conner,ARI,KC,RB,7700,14.5,1.3,10.7,78867-40687,20.6,,,,,,,,
Jared Goff,DET,PHI,QB,6800,16.3,1.3,0.5,78867-38435,20.7,,,,,,,,
Joe Flacco,NYJ,BAL,QB,6200,14.5,1.3,0.5,78867-6714,20,,,,,,,,
Derrick Henry,TEN,NYG,RB,9700,18.5,1.3,14.6,78867-39280,25.8,,,,,,,,
Ja'Marr Chase,CIN,PIT,WR,8200,15.4,1.2,10.4,78867-85701,22.7,,,,,,,,
Tua Tagovailoa,MIA,NE,QB,7000,16.9,1.2,3.6,78867-90572,23.2,,,,,,,,
Chase Edmonds,MIA,NE,RB,5800,10.7,1.2,7.3,78867-83081,16.3,,,,,,,,
Baker Mayfield,CAR,CLE,QB,6600,15.5,1.1,0.5,78867-41535,21.4,,,,,,,,
Christian Kirk,JAX,WAS,WR,5800,10.6,1.1,12,78867-60858,15,,,,,,,,
Kadarius Toney,NYG,TEN,WR,5300,9.6,1.1,11.9,78867-86052,13.2,,,,,,,,
Pittsburgh Steelers,PIT,CIN,D,3500,6.1,1.1,8.6,78867-12547,10.5,,,,,,,,
San Francisco 49ers,SF,CHI,D,5000,9,1.1,3.9,78867-12549,14.6,,,,,,,,
Davis Mills,HOU,IND,QB,6500,15.2,1,0.5,78867-89628,18.8,,,,,,,,
Matt Ryan,IND,HOU,QB,6900,16.3,1,1.6,78867-6616,22.7,,,,,,,,
Trevor Lawrence,JAX,WAS,QB,7000,16.6,1,1.2,78867-89951,21.5,,,,,,,,
Carson Wentz,WAS,JAX,QB,6800,16,1,2,78867-70324,22.3,,,,,,,,
DJ Moore,CAR,CLE,WR,6400,11.6,0.9,18.7,78867-63043,16.3,,,,,,,,
JuJu Smith-Schuster,KC,ARI,WR,6400,11.6,0.9,4.2,78867-55987,17.9,,,,,,,,
Adam Thielen,MIN,GB,WR,6100,10.9,0.9,18,78867-39716,16,,,,,,,,
Cincinnati Bengals,CIN,PIT,D,4400,7.6,0.9,6.8,78867-12528,12.7,,,,,,,,
Cleveland Browns,CLE,CAR,D,4300,7.5,0.9,2.8,78867-12529,12.4,,,,,,,,
Miami Dolphins,MIA,NE,D,3800,6.4,0.9,5.3,78867-12539,11,,,,,,,,
Tennessee Titans,TEN,NYG,D,4600,8,0.9,2.1,78867-12534,13.2,,,,,,,,
Jacoby Brissett,CLE,CAR,QB,6300,14.3,0.8,0.5,78867-30231,20.8,,,,,,,,
Chris Olave,NO,ATL,WR,5000,8.7,0.8,0.5,78867-87770,13.6,,,,,,,,
Jacksonville Jaguars,JAX,WAS,D,3600,5.9,0.8,2.2,78867-12554,10.3,,,,,,,,
New York Jets,NYJ,BAL,D,3300,5.4,0.8,5.8,78867-12544,9.6,,,,,,,,
David Montgomery,CHI,SF,RB,6600,11.7,0.7,8.3,78867-73273,16.4,,,,,,,,
AJ Dillon,GB,MIN,RB,6100,10.7,0.7,7.4,78867-93107,15.6,,,,,,,,
Davante Adams,LV,LAC,WR,8500,15.5,0.7,10.3,78867-45889,22.1,,,,,,,,
Elijah Moore,NYJ,BAL,WR,6000,10.5,0.7,5.4,78867-88575,14.5,,,,,,,,
Miles Sanders,PHI,DET,RB,6500,11.6,0.7,1.8,78867-71845,17.1,,,,,,,,
Najee Harris,PIT,CIN,RB,8200,14.9,0.7,8.6,78867-90575,20.4,,,,,,,,
New York Giants,NYG,TEN,D,3400,5.4,0.7,2.9,78867-12543,9.6,,,,,,,,
Darnell Mooney,CHI,SF,WR,6200,10.9,0.6,10.7,78867-69777,14.5,,,,,,,,
Travis Kelce,KC,ARI,TE,8000,14.4,0.6,10.7,78867-33076,21.7,,,,,,,,
Hunter Renfrow,LV,LAC,WR,5900,10.3,0.6,11.5,78867-57986,15.2,,,,,,,,
Michael Thomas,NO,ATL,WR,6200,10.9,0.6,11.4,78867-28573,16,,,,,,,,
Marquise Brown,ARI,KC,WR,6900,12.1,0.5,14.4,78867-86687,17.6,,,,,,,,
Detroit Lions,DET,PHI,D,3100,4.7,0.5,4.5,78867-12532,8.6,,,,,,,,
Indianapolis Colts,IND,HOU,D,4500,7.4,0.5,5.3,78867-12535,12.4,,,,,,,,
Kansas City Chiefs,KC,ARI,D,3700,5.9,0.5,2.4,78867-12536,10.2,,,,,,,,
New Orleans Saints,NO,ATL,D,4900,8.2,0.5,1.3,78867-12542,13.4,,,,,,,,
Keenan Allen,LAC,LV,WR,7400,13.1,0.4,7.3,78867-29253,19.3,,,,,,,,
Michael Carter,NYJ,BAL,RB,5200,8.7,0.4,5.4,78867-93539,13.2,,,,,,,,
Robert Woods,TEN,NYG,WR,5600,9.5,0.4,6.8,78867-29685,14.2,,,,,,,,
Allen Lazard,GB,MIN,WR,6500,11.1,0.3,1.7,78867-56809,16.7,,,,,,,,
Daniel Jones,NYG,TEN,QB,7100,16.2,0.3,0.5,78867-63519,21.1,,,,,,,,
A.J. Brown,PHI,DET,WR,7100,12.3,0.3,8.8,78867-72846,18.6,,,,,,,,
Minnesota Vikings,MIN,GB,D,3200,4.7,0.3,2.5,78867-12540,8.6,,,,,,,,
Justin Fields,CHI,SF,QB,6900,15.5,0.2,1.3,78867-91591,21.2,,,,,,,,
Kyle Pitts,ATL,NO,TE,6000,10,0.1,18.3,78867-86080,13.8,,,,,,,,
Rashod Bateman,BAL,NYJ,WR,6100,10.1,0.1,12.9,78867-85845,15.4,,,,,,,,
Robbie Anderson,CAR,CLE,WR,5300,8.6,0.1,0.5,78867-26251,12.9,,,,,,,,
Mecole Hardman,KC,ARI,WR,5400,8.8,0.1,0.9,78867-71352,14.8,,,,,,,,
Austin Ekeler,LAC,LV,RB,9400,16.7,0.1,6.8,78867-80001,24.2,,,,,,,,
Eli Mitchell,SF,CHI,RB,6700,11.4,0.1,1,78867-92413,16.3,,,,,,,,
Las Vegas Raiders,LV,LAC,D,3000,4,0.1,21.9,78867-12537,7.7,,,,,,,,
Rondale Moore,ARI,KC,WR,5500,8.9,0,10.2,78867-93408,13.2,,,,,,,,
Cordarrelle Patterson,ATL,NO,RB,6600,11,0,1.1,78867-30733,15.9,,,,,,,,
DJ Chark Jr.,DET,PHI,WR,5300,8.5,0,1.7,78867-52917,12.9,,,,,,,,
Amon-Ra St. Brown,DET,PHI,WR,6500,10.9,0,11.1,78867-86997,15.4,,,,,,,,
Marquez Valdes-Scantling,KC,ARI,WR,5500,8.9,0,1.9,78867-40647,15.2,,,,,,,,
Dallas Goedert,PHI,DET,TE,5700,9.3,0,10.3,78867-83074,14.6,,,,,,,,
Chase Claypool,PIT,CIN,WR,5800,9.5,0,1.6,78867-73111,13.3,,,,,,,,
Ryan Tannehill,TEN,NYG,QB,7100,15.9,0,0.6,78867-21948,22.6,,,,,,,,
Mike Davis,BAL,NYJ,RB,5600,9,-0.1,0.5,78867-30635,13.8,,,,,,,,
Mark Andrews,BAL,NYJ,TE,7900,13.5,-0.1,8.4,78867-52436,20,,,,,,,,
Josh Jacobs,LV,LAC,RB,7000,11.7,-0.1,2.8,78867-72731,17.3,,,,,,,,
Corey Davis,NYJ,BAL,WR,5400,8.6,-0.1,1.2,78867-45439,12.3,,,,,,,,
DeVonta Smith,PHI,DET,WR,6100,10,-0.1,3.2,78867-90576,15.5,,,,,,,,
Jahan Dotson,WAS,JAX,WR,4900,7.6,-0.1,0.5,78867-86229,11.7,,,,,,,,
Chicago Bears,CHI,SF,D,3800,5.4,-0.1,0.5,78867-12527,9.6,,,,,,,,
Joshua Palmer,LAC,LV,WR,4900,7.5,-0.2,0.8,78867-87418,12.7,,,,,,,,
Rhamondre Stevenson,NE,MIA,RB,5600,8.9,-0.2,6.9,78867-111540,13,,,,,,,,
Wan'Dale Robinson,NYG,TEN,WR,4700,7.1,-0.2,0.5,78867-103539,10.4,,,,,,,,
George Pickens,PIT,CIN,WR,5200,8.1,-0.2,0.5,78867-110246,11.6,,,,,,,,
Baltimore Ravens,BAL,NYJ,D,4800,7.4,-0.2,0.9,78867-12555,12.3,,,,,,,,
New England Patriots,NE,MIA,D,3900,5.6,-0.2,0.5,78867-12541,9.8,,,,,,,,
Parris Campbell,IND,HOU,WR,5200,8.1,-0.3,0.5,78867-56262,13.2,,,,,,,,
Michael Pittman Jr.,IND,HOU,WR,7200,12,-0.3,10.6,78867-69213,17.8,,,,,,,,
Diontae Johnson,PIT,CIN,WR,6700,10.9,-0.3,10.3,78867-66008,14.7,,,,,,,,
Mo Alie-Cox,IND,HOU,TE,4800,7.1,-0.4,2.7,78867-24533,12,,,,,,,,
Mac Jones,NE,MIA,QB,6600,14,-0.4,0.5,78867-90584,18.7,,,,,,,,
Terry McLaurin,WAS,JAX,WR,7000,11.5,-0.4,5.8,78867-56250,16.7,,,,,,,,
Green Bay Packers,GB,MIN,D,4200,6,-0.4,0.6,78867-12533,10.3,,,,,,,,
Jakobi Meyers,NE,MIA,WR,5500,8.4,-0.5,5.4,78867-63634,12,,,,,,,,
Houston Texans,HOU,IND,D,3300,4,-0.5,0.5,78867-12556,7.7,,,,,,,,
Los Angeles Chargers,LAC,LV,D,4000,5.4,-0.5,0.6,78867-12548,9.6,,,,,,,,
T.J. Hockenson,DET,PHI,TE,5700,8.6,-0.6,12.6,78867-71706,12.8,,,,,,,,
Nico Collins,HOU,IND,WR,5200,7.7,-0.6,0.9,78867-91419,11.3,,,,,,,,
Philadelphia Eagles,PHI,DET,D,4100,5.5,-0.6,0.9,78867-12545,9.7,,,,,,,,
Drake London,ATL,NO,WR,5500,8.2,-0.7,0.5,78867-112745,11.5,,,,,,,,
Cole Kmet,CHI,SF,TE,5000,7.2,-0.7,4.7,78867-91047,9.9,,,,,,,,
Tyler Boyd,CIN,PIT,WR,5700,8.5,-0.7,0.9,78867-40669,13.3,,,,,,,,
Nyheim Hines,IND,HOU,RB,5400,8,-0.7,1.2,78867-63625,12.7,,,,,,,,
Raheem Mostert,MIA,NE,RB,5500,8.2,-0.7,0.5,78867-28744,12.9,,,,,,,,
Brandon Aiyuk,SF,CHI,WR,5600,8.4,-0.7,3.8,78867-85798,13,,,,,,,,
Jaylen Waddle,MIA,NE,WR,6800,10.7,-0.8,3.2,78867-90573,15.6,,,,,,,,
Damien Harris,NE,MIA,RB,6300,9.7,-0.8,2.7,78867-64576,14,,,,,,,,
George Kittle,SF,CHI,TE,6100,9.3,-0.8,7.1,78867-39793,14.2,,,,,,,,
Carolina Panthers,CAR,CLE,D,4700,6.6,-0.8,0.5,78867-12553,11.2,,,,,,,,
Brevin Jordan,HOU,IND,TE,4800,6.6,-0.9,0.5,78867-94094,9.8,,,,,,,,
Marvin Jones Jr.,JAX,WAS,WR,5500,8,-0.9,0.5,78867-22103,11.8,,,,,,,,
K.J. Osborn,MIN,GB,WR,5200,7.4,-0.9,0.5,78867-63855,11.5,,,,,,,,
Irv Smith Jr.,MIN,GB,TE,5100,7.2,-0.9,3.1,78867-72725,11.3,,,,,,,,
J.D. McKissic,WAS,JAX,RB,5200,7.4,-0.9,3.3,78867-43334,12.2,,,,,,,,
Randall Cobb,GB,MIN,WR,5100,7,-1.1,0.5,78867-14257,11.4,,,,,,,,
Rex Burkhead,HOU,IND,RB,5100,7,-1.1,0.5,78867-27338,11.5,,,,,,,,
Zach Ertz,ARI,KC,TE,5600,7.9,-1.2,11.8,78867-29780,12.1,,,,,,,,
Nick Chubb,CLE,CAR,RB,7800,12.3,-1.2,3.3,78867-53562,17.1,,,,,,,,
Darren Waller,LV,LAC,TE,7000,10.6,-1.2,2.2,78867-25011,15.8,,,,,,,,
Gerald Everett,LAC,LV,TE,5200,7.1,-1.2,1.9,78867-57299,12,,,,,,,,
Tyreek Hill,MIA,NE,WR,7700,12.1,-1.2,7.5,78867-53681,17.7,,,,,,,,
Kenneth Gainwell,PHI,DET,RB,5300,7.3,-1.2,0.5,78867-90912,12.1,,,,,,,,
Curtis Samuel,WAS,JAX,WR,5100,6.9,-1.2,0.5,78867-52613,10.8,,,,,,,,
Zay Jones,JAX,WAS,WR,5100,6.8,-1.3,0.5,78867-41305,10.3,,,,,,,,
Braxton Berrios,NYJ,BAL,WR,4700,6.1,-1.3,0.5,78867-52495,8.8,,,,,,,,
Isaiah Likely,BAL,NYJ,TE,4100,4.7,-1.4,0.5,78867-87260,8.8,,,,,,,,
Amari Cooper,CLE,CAR,WR,6300,9.1,-1.4,2.3,78867-31001,12.8,,,,,,,,
Jamaal Williams,DET,PHI,RB,5700,7.9,-1.4,0.5,78867-45631,12.5,,,,,,,,
Nick Westbrook-Ikhine,TEN,NYG,WR,5100,6.7,-1.4,0.9,78867-64389,11.1,,,,,,,,
